What if it is a rebound relationship for both of you ?	2
Good luck in your search for the one !	1
Why does everyone seem to want someone that they can not have and know that they should not want ?	1
Do you like to argue and fight ?	1
"So , if you are set on that , that is the way to go !"	0.5
My ex of three years cheated .	0
"Work at it , but do not let him keep you locked up at home ."	1
"Other than those two things , just ask him once in a while ."	1
"Also , men get bored and tire way before women do ."	1
"She is strong , loving , and most of all , really was not as happy as she thought she was ."	2
It is one way of saying I do not like you .	2
"Only your mother loves you , and you might be jiving too ."	1
He loves you as well . Time will tell .	2
He wants me to change how I look .	2
I know I have someone to come home to .	1
"Did you fall goog because I want to have sex , but you have to be careful ?"	0
You want all of your friends forever ?	1
It does not mean that you are slutty .	0
Going to a club and dancing .	1
Do not go anywhere you went with him or her .	1
"They are a lot of fun , there is plenty to do ."	1
It depends on when you are ready .	2
Stay 100 miles away from this guy .	1
"Be prepared , if it happens once it can happen again ."	1
I am just looking for the girl who wants that time with me .	1
Not until he gets another girlfriend .	1
Wife says that we do not wear that stuff .	1
"If you are asking , then you should break up and open yourself to other options ."	2
Why do homosexuals want to get married ?	3
"Saying sorry to him without committing a mistake is humilation to yourself , and do not ever get weak !"	2
Do you have to rush your choice ?	1
They both do not respect your feelings .	3
"No , seriously , think about how many cocky girls are out there ."	2
She is too afraid to ask him out .	1
"Get a grip , how can you love someone that you do not even communicate with ?"	1
"I would ask you out , but I live in Oregon and have no idea where you live ."	1
They have never performed before and it doubles the pleasure .	3
I will probably go and see one .	1
"Either way , best of luck , but I am just glad that I have brown hair !"	1
Mail me at honorarius @ yahoo.com and I will tell you .	3
It is absolutely just a challenge .	3
I am a girl so I will help you out .	2
"Do not tell them , but let them find out once you are in bed with her ."	1
"If I would have kept my last name , it is just a freakin name ."	0
I hardly ever see him in school either . Usually I see him at my brother 's basketball games .	2
"He is telling that to some girls as well , he is a womanizer ."	2
"Drop his butts , there are plenty of fish in the sea of amore ."	1
I know because I am just like your wife .	1
"When she calls , text her back ."	1
I am five feet four inches tall and he is six feet two inches tall .	3